,Year of manufacture,Kilometer,Previous owners,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
346,1989,160000,4,202,3590,6,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,12956
347,1970,73971,1,109,1595,4,4,Right (RHD),Manual,4,Rear,Disc,Drum,Petrol,8702
348,1989,40234,2,220,3100,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,23496
349,2021,9000,1,450,2981,6,2,Left (LHD),Manual,8,4WD,Disc,Disc,Petrol,160993
350,2002,73971,1,400,4941,8,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,204504
351,1973,34794,5,106,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,30415
352,1996,74996,1,240,3950,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,37376
353,1974,148724,2,225,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,34766
354,1991,44,6,29,597,2,4,Left (LHD),Manual,4,Front,Drum,Drum,Petrol,36985
355,1959,6650,6,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,106603
356,2004,147000,2,210,2521,5,5,Left (LHD),Automatic,5,4WD,Disc,Disc,Petrol,10399
357,2022,38,1,300,1798,4,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,119657
358,2021,750,1,510,3982,8,2,Left (LHD),Automatic,8,Rear,Disc,Disc,Petrol,190580
359,2010,145906,3,316,3498,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,29490
360,1991,56000,2,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,104419
361,2016,63,6,675,3799,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,274122
362,1900,6011,6,16,569,4,0,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,8702
363,1954,99263,6,16,569,4,4,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,17318
364,1938,32448,1,55,1971,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,143501
365,1995,81381,6,360,6750,8,4,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,26020
366,1970,84785,3,130,1991,4,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,24279
367,1956,64845,1,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,82672
368,1965,54000,2,58,1,4,3,Left (LHD),Manual,3,Front,Drum,Drum,Petrol,40901
369,2006,146948,2,229,2457,4,4,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,20450
370,2002,60082,3,442,5,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,73883
371,1980,138029,2,217,4520,8,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,19406
372,1978,2000,1,410,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,117481
373,2007,79000,1,355,3824,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,55695
374,2008,90000,1,480,3600,6,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,100076
375,2002,118000,1,203,2736,6,2,Left (LHD),Automatic,4,Front,Disc,Disc,Petrol,4177
376,2005,59300,1,241,1997,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,43424
377,2005,59905,2,528,5935,12,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,143501
378,2005,27500,1,560,5998,12,4,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,43424
379,2008,50300,3,560,5204,10,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,100860
380,2016,33300,2,670,3902,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,178310
381,2016,64100,1,571,5461,8,4,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,78234
382,1988,132600,3,300,3299,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,173959
383,2005,54700,4,240,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,39073
384,1970,56120,2,200,3499,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,69183
385,2000,7497,3,550,5992,12,2,Left (LHD),Manual,5,4WD,Disc,Disc,Petrol,465573
386,2008,111145,2,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,169695
387,2018,41843,2,608,5950,12,5,Right (RHD),Automatic,8,4WD,Disc,Disc,Petrol,100000
388,2021,5734,1,340,2998,6,2,Right (RHD),Automatic,8,Rear,Disc,Disc,Petrol,62500
389,1998,39641,3,135,1994,4,2,Right (RHD),Manual,5,Rear,Disc,Drum,Petrol,28000
390,1965,77454,6,120,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,51779
391,1987,5693,2,240,3900,8,3,Left (LHD),Manual,5,4WD,Disc,Drum,Petrol,126183
392,1987,65620,3,265,5343,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,25237
393,1987,129206,2,390,4943,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,106603
394,1959,98856,4,105,1886,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,121745
395,1962,65000,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,112695
396,1957,50188,6,100,2195,6,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,113086
397,2007,142223,6,258,3555,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,26020
398,1970,73971,2,125,2195,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,60829
399,1967,72358,1,122,1570,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,60699
400,1967,17935,6,304,5763,8,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,130099
401,1960,80545,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,116611
402,1988,95040,6,245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46775
403,1980,57367,6,360,4942,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,260634
404,1980,151500,2,240,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,52127
405,1931,6379,5,29,1087,4,1,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,40031
406,2002,27379,1,525,6208,8,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,119657
407,1982,144430,2,299,5343,12,2,Left (LHD),Automatic,3,Rear,Disc,Disc,Petrol,12140
408,2010,65190,3,460,4297,8,2,Left (LHD),Semi-Automatic,7,Rear,Disc,Disc,Petrol,103992
409,1977,73971,1,200,2994,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,69444
410,1982,224500,3,231,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,43424
411,2010,65600,1,228,2967,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,63527
412,2018,8500,1,630,5980,12,5,Left (LHD),Automatic,7,4WD,Disc,Disc,Petrol,321985
413,1955,117,6,110,2660,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102252
414,2010,38750,2,517,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,86950
415,1985,130579,2,204,3839,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,41336
416,2007,6631,1,560,5998,12,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,100076
417,1960,69000,3,224,3781,6,4,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,59089
418,1964,136500,6,300,3967,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,278474
419,1985,999999,6,245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,38290
420,1967,152102,2,210,1991,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,91374
421,1979,109088,2,240,4474,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,34766
422,2004,195854,6,298,4196,8,4,Left (LHD),Automatic,5,Rear,Disc,Disc,Petrol,13489
423,1985,195575,2,230,5547,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,34374
424,1961,81596,3,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,130447
425,1938,6000,4,47,1352,4,4,Right (RHD),Manual,4,Rear,Drum,Drum,Petrol,33069
426,1984,187000,3,286,3430,6,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,51344
427,1985,120500,2,245,4973,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,69531
428,1958,73971,2,105,1897,4,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,102644
429,2016,58000,1,370,2981,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,95725
430,2006,147000,2,355,3824,6,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,47863
431,2007,52000,2,480,3600,6,2,Left (LHD),Automatic,6,4WD,Disc,Disc,Petrol,86153
432,2004,76000,3,265,3179,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,36115
433,2016,43000,1,420,2981,6,2,Left (LHD),Manual,7,4WD,Disc,Disc,Petrol,129664
434,2010,6751,1,450,4691,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,243229
435,1974,88007,6,340,4390,12,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,86588
436,1973,78660,6,195,2593,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,77886
437,1985,117815,3,218,4196,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,46905
438,2007,37026,4,528,5935,12,2,Right (RHD),Automatic,6,Rear,Disc,Disc,Petrol,99950
439,2011,59525,5,385,4997,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,43337
440,1998,56327,3,426,6750,8,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,100000
441,1955,76239,6,137,4900,6,0,Left (LHD),Automatic,4,Rear,Drum,Drum,Petrol,39160
